series_id,area_code,item_code,,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
APU0000FD4101,0,FD4101,,"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2026,M05
APU0000FD3101,0,FD3101,,"All Pork Chops, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2026,M05
APU0000FN1102,0,FN1102,,"All soft drinks, 12 pk, 12 oz., cans, per 12 oz. (354.9 ml) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2026,M05
APU0000FN1101,0,FN1101,,"All soft drinks, per 2 liters (67.6 oz) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2026,M05
APU0000FC2101,0,FC2101,,"All Uncooked Beef Roasts, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2026,M05
APU0000FC3101,0,FC3101,,"All Uncooked Beef Steaks, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2026,M05
APU0000FC1101,0,FC1101,,"All uncooked ground beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2026,M05
APU0000FC4101,0,FC4101,,"All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2026,M05
APU0000710211,0,710211,,"American processed cheese, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2026,M05
APU0000704111,0,704111,,"Bacon, sliced, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000711211,0,711211,,"Bananas, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000714233,0,714233,,"Beans, dried, any type, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2026,M05
APU0000703432,0,703432,,"Beef for stew, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2026,M05
APU0000705121,0,705121,,"Bologna, all beef or mixed, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2025,M10
APU0000702112,0,702112,,"Bread, French, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2025,M10
APU0000702111,0,702111,,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000702212,0,702212,,"Bread, whole wheat, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000712412,0,712412,,"Broccoli, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2025,M10
APU0000FS1101,0,FS1101,,"Butter, stick, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2026,M05
APU0000710212,0,710212,,"Cheddar cheese, natural, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2026,M05
APU0000711418,0,711418,,"Cherries, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M06,2025,M10
APU0000FF1101,0,FF1101,,"Chicken breast, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,2006,M01,2026,M05
APU0000706212,0,706212,,"Chicken legs, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000706111,0,706111,,"Chicken, fresh, whole, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000704212,0,704212,,"Chops, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2026,M05
APU0000704211,0,704211,,"Chops, center cut, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000703212,0,703212,,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2025,M10
APU0000703213,0,703213,,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1989,M01,2026,M05
APU0000717311,0,717311,,"Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000702421,0,702421,,"Cookies, chocolate chip, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000714221,0,714221,,"Corn, canned, any style, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2026,M05
APU0000708111,0,708111,,"Eggs, grade A, large, per doz. in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000708112,0,708112,,"Eggs, grade AA, large, per doz. in U.S. city average, average price, not seasonally adjusted",,1980,M01,2025,M10
APU0000701111,0,701111,,"Flour, white, all purpose, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000705111,0,705111,,"Frankfurters, all meat or all beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2025,M10
APU0000711411,0,711411,,"Grapefruit, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000711417,0,711417,,"Grapes, Thompson Seedless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M07,2025,M10
APU0000703112,0,703112,,"Ground beef, 100% beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2026,M05
APU0000703113,0,703113,,"Ground beef, lean and extra lean, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2026,M05
APU0000703111,0,703111,,"Ground chuck, 100% beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
